Step, Discriminator loss, Generator loss, Observer loss, Control factor
0 , 1.3866456 , 1.3863096 , 0.0 , 0.9566595548946744 
11 , 1.3862615 , 1.3861024 , 0.0 , 0.9566595548946744 
22 , 1.3858855 , 1.3857167 , 0.0 , 0.9566595548946744 
33 , 1.3853581 , 1.3849523 , 0.0 , 0.9566595548946744 
44 , 1.3845344 , 1.3840384 , 0.0 , 0.9566595548946744 
55 , 1.3833919 , 1.3830224 , 0.0 , 0.9566595548946744 
66 , 1.381752 , 1.381649 , 0.0 , 0.9566595548946744 
77 , 1.3804244 , 1.3805411 , 0.0 , 0.9566595548946744 
88 , 1.3784627 , 1.3789136 , 0.0 , 0.9566595548946744 
99 , 1.376378 , 1.3770273 , 0.0 , 0.9566595548946744 
110 , 1.3740327 , 1.3747225 , 0.0 , 0.9566595548946744 
121 , 1.370148 , 1.370213 , 0.0 , 0.9566595548946744 
132 , 1.3651898 , 1.3641739 , 0.0 , 0.9566595548946744 
143 , 1.3592727 , 1.3576744 , 0.0 , 0.9566595548946744 
154 , 1.3525422 , 1.35045 , 0.0 , 0.9566595548946744 
165 , 1.3472261 , 1.3450005 , 0.0 , 0.9566595548946744 
176 , 1.3400342 , 1.3374095 , 0.0 , 0.9566595548946744 
187 , 1.3340237 , 1.3313773 , 0.0 , 0.9566595548946744 
198 , 1.327432 , 1.3247705 , 0.0 , 0.9566595548946744 
209 , 1.3205848 , 1.3179107 , 0.0 , 0.9566595548946744 
220 , 1.3118771 , 1.3086901 , 0.0 , 0.9566595548946744 
231 , 1.3027258 , 1.2990117 , 0.0 , 0.9566595548946744 
242 , 1.2952641 , 1.2913134 , 0.0 , 0.9566595548946744 
253 , 1.2853426 , 1.281062 , 0.0 , 0.9566595548946744 
264 , 1.2795978 , 1.2754146 , 0.0 , 0.9566595548946744 
275 , 1.2665789 , 1.2619431 , 0.0 , 0.9566595548946744 
286 , 1.2570618 , 1.2523117 , 0.0 , 0.9566595548946744 
297 , 1.2413288 , 1.2358369 , 0.0 , 0.9566595548946744 
308 , 1.2300465 , 1.2243576 , 0.0 , 0.9566595548946744 
319 , 1.2214016 , 1.2155311 , 0.0 , 0.9566595548946744 
330 , 1.2048262 , 1.1986189 , 0.0 , 0.9566595548946744 
341 , 1.1910293 , 1.1845019 , 0.0 , 0.9566595548946744 
352 , 1.176525 , 1.1696687 , 0.0 , 0.9566595548946744 
363 , 1.1560602 , 1.1490119 , 0.0 , 0.9566595548946744 
374 , 1.1432868 , 1.1353223 , 0.0 , 0.9566595548946744 
