87500, 78.125%, 68.75%
88000, 73.4375%, 68.75%
88500, 76.5625%, 68.75%
89000, 78.125%, 67.1875%
89500, 84.375%, 67.1875%
90000, 75.0%, 68.75%
90500, 76.5625%, 67.1875%
91000, 79.6875%, 68.75%
91500, 73.4375%, 68.75%
92000, 81.25%, 67.1875%
92500, 70.3125%, 70.3125%
93000, 78.125%, 67.1875%
93500, 75.0%, 70.3125%
94000, 76.5625%, 68.75%
94500, 79.6875%, 68.75%
95000, 79.6875%, 67.1875%
95500, 76.5625%, 71.875%
96000, 81.25%, 68.75%
96500, 70.3125%, 68.75%
97000, 81.25%, 67.1875%
97500, 75.0%, 70.3125%
98000, 71.875%, 67.1875%
98500, 82.8125%, 68.75%
99000, 79.6875%, 68.75%
99500, 79.6875%, 68.75%
100000, 78.125%, 70.3125%
100500, 82.8125%, 67.1875%
101000, 78.125%, 70.3125%
101500, 82.8125%, 67.1875%
102000, 76.5625%, 67.1875%
102500, 71.875%, 67.1875%
103000, 78.125%, 70.3125%
103500, 75.0%, 68.75%
104000, 79.6875%, 70.3125%
104500, 82.8125%, 67.1875%
105000, 78.125%, 70.3125%
105500, 79.6875%, 70.3125%
106000, 81.25%, 68.75%
106500, 79.6875%, 70.3125%
107000, 81.25%, 68.75%
107500, 71.875%, 68.75%
108000, 78.125%, 68.75%
108500, 81.25%, 70.3125%
109000, 78.125%, 70.3125%
109500, 78.125%, 70.3125%
110000, 81.25%, 68.75%
110500, 76.5625%, 70.3125%
111000, 78.125%, 70.3125%
111500, 81.25%, 70.3125%
112000, 68.75%, 68.75%
112500, 76.5625%, 70.3125%
113000, 75.0%, 70.3125%
113500, 79.6875%, 70.3125%
114000, 75.0%, 70.3125%
114500, 76.5625%, 68.75%
115000, 71.875%, 68.75%
115500, 78.125%, 70.3125%
116000, 67.1875%, 68.75%
116500, 78.125%, 70.3125%
117000, 76.5625%, 68.75%
117500, 71.875%, 68.75%
118000, 73.4375%, 70.3125%
118500, 79.6875%, 70.3125%
119000, 75.0%, 71.875%
119500, 79.6875%, 68.75%
120000, 76.5625%, 68.75%
120500, 75.0%, 68.75%
121000, 76.5625%, 68.75%
121500, 78.125%, 68.75%
122000, 78.125%, 68.75%
122500, 75.0%, 70.3125%
123000, 81.25%, 70.3125%
123500, 76.5625%, 70.3125%
124000, 79.6875%, 68.75%
124500, 73.4375%, 70.3125%
125000, 82.8125%, 68.75%
125500, 81.25%, 68.75%
126000, 82.8125%, 70.3125%
126500, 79.6875%, 70.3125%
127000, 78.125%, 70.3125%
127500, 76.5625%, 70.3125%
128000, 75.0%, 70.3125%
128500, 73.4375%, 70.3125%
129000, 73.4375%, 70.3125%
129500, 81.25%, 70.3125%
130000, 78.125%, 68.75%
130500, 76.5625%, 68.75%
131000, 78.125%, 70.3125%
131500, 73.4375%, 70.3125%
132000, 78.125%, 70.3125%
132500, 76.5625%, 70.3125%
133000, 70.3125%, 70.3125%
133500, 73.4375%, 70.3125%
134000, 79.6875%, 68.75%
134500, 81.25%, 68.75%
135000, 79.6875%, 70.3125%
135500, 78.125%, 70.3125%
136000, 81.25%, 68.75%
136500, 76.5625%, 68.75%
137000, 73.4375%, 68.75%
137500, 82.8125%, 68.75%
138000, 84.375%, 70.3125%
138500, 78.125%, 68.75%
139000, 82.8125%, 70.3125%
139500, 76.5625%, 70.3125%
140000, 84.375%, 70.3125%
140500, 79.6875%, 70.3125%
141000, 78.125%, 70.3125%
141500, 79.6875%, 71.875%
142000, 81.25%, 68.75%
142500, 79.6875%, 70.3125%
143000, 79.6875%, 71.875%
143500, 76.5625%, 68.75%
144000, 78.125%, 71.875%
144500, 75.0%, 70.3125%
145000, 75.0%, 70.3125%
145500, 82.8125%, 68.75%
146000, 75.0%, 70.3125%
146500, 82.8125%, 70.3125%
147000, 79.6875%, 68.75%
147500, 84.375%, 70.3125%
148000, 82.8125%, 68.75%
148500, 79.6875%, 68.75%
149000, 76.5625%, 67.1875%
149500, 75.0%, 67.1875%
150000, 75.0%, 68.75%
150500, 79.6875%, 68.75%
151000, 78.125%, 68.75%
151500, 78.125%, 70.3125%
152000, 78.125%, 70.3125%
152500, 81.25%, 68.75%
153000, 79.6875%, 68.75%
153500, 82.8125%, 70.3125%
154000, 81.25%, 70.3125%
154500, 81.25%, 70.3125%
155000, 76.5625%, 70.3125%
155500, 79.6875%, 70.3125%
156000, 78.125%, 68.75%
156500, 75.0%, 68.75%
157000, 79.6875%, 68.75%
157500, 78.125%, 68.75%
158000, 78.125%, 68.75%
158500, 75.0%, 68.75%
159000, 78.125%, 70.3125%
159500, 73.4375%, 68.75%
160000, 79.6875%, 71.875%
160500, 81.25%, 70.3125%
161000, 78.125%, 68.75%
161500, 79.6875%, 68.75%
162000, 81.25%, 70.3125%
162500, 81.25%, 68.75%
163000, 76.5625%, 68.75%
163500, 79.6875%, 70.3125%
164000, 81.25%, 68.75%
164500, 82.8125%, 70.3125%
165000, 78.125%, 68.75%
165500, 75.0%, 68.75%
166000, 82.8125%, 71.875%
166500, 78.125%, 70.3125%
167000, 82.8125%, 68.75%
167500, 78.125%, 70.3125%
168000, 78.125%, 70.3125%
168500, 78.125%, 70.3125%
169000, 79.6875%, 70.3125%
169500, 78.125%, 70.3125%
170000, 78.125%, 71.875%
170500, 75.0%, 70.3125%
171000, 78.125%, 70.3125%
171500, 71.875%, 68.75%
172000, 82.8125%, 70.3125%
172500, 78.125%, 67.1875%
173000, 79.6875%, 70.3125%
173500, 82.8125%, 70.3125%
174000, 81.25%, 70.3125%
174500, 75.0%, 68.75%
175000, 75.0%, 70.3125%
175500, 78.125%, 70.3125%
176000, 82.8125%, 68.75%
176500, 76.5625%, 71.875%
177000, 79.6875%, 71.875%
177500, 71.875%, 70.3125%
178000, 70.3125%, 70.3125%
178500, 79.6875%, 70.3125%
179000, 79.6875%, 70.3125%
179500, 78.125%, 70.3125%
180000, 78.125%, 68.75%
180500, 84.375%, 70.3125%
181000, 82.8125%, 70.3125%
181500, 81.25%, 68.75%
182000, 78.125%, 70.3125%
182500, 79.6875%, 70.3125%
183000, 82.8125%, 71.875%
183500, 82.8125%, 71.875%
184000, 75.0%, 70.3125%
184500, 76.5625%, 70.3125%
185000, 79.6875%, 71.875%
185500, 84.375%, 71.875%
186000, 78.125%, 70.3125%
186500, 81.25%, 70.3125%
187000, 79.6875%, 70.3125%
187500, 78.125%, 70.3125%
